start_jid,end_jid,sfzh,hbh
2933,20008482,211102198707245517,MU351
5097,20008482,370300199607044159,MU351
5999,20008482,451402199904285863,MU351
682,20008482,350102198404301729,MU351
1312,20008482,150702193709305184,MU351
2933,20004649,211102198707245517,MF354
8825,20004649,340800197912016659,MF354
4841,20004649,530128197012121959,MF354
6217,20004649,130426194607048901,MF354
3606,20004649,411503194211284958,MF354
7201,20004649,330101197908145614,MF354
1742,20004649,410305196804019391,MF354
3610,20004649,610528193705226896,MF354
3647,20004649,430600197306060706,MF354
9686,20004649,650102199906133767,MF354
2933,20006589,211102198707245517,CZ815
1633,20006589,420921200111209831,CZ815
7146,20006589,150104195912148734,CZ815
6912,20006589,640301193804135791,CZ815
7282,20006589,360829197609198214,CZ815
2933,20000493,211102198707245517,CJ037
9944,20000493,420202195606129517,CJ037
6620,20000493,451000197907286139,CJ037
8377,20000493,610100198806275616,CJ037
2442,20000493,510601193909246057,CJ037
2933,20009349,211102198707245517,CA785
4262,20009349,621201196002204412,CA785
4222,20009349,510603199601254106,CA785
1192,20009349,500112197710166621,CA785
2979,20009349,360200198205230221,CA785
4398,20009349,220300195908135053,CA785
3834,20009349,350582197801042926,CA785
6451,20009349,130727199810185149,CA785
8432,20009349,611025193306088179,CA785
4951,20009349,451300194007174011,CA785
9372,20008296,371325193908174636,MU194
4210,20008296,130203199203236794,MU194
1512,20008296,371311197310041388,MU194
9817,20008296,370126195102263502,MU194
7286,20008296,53252419950314532X,MU194
9372,20009524,371325193908174636,MF519
4584,20009524,44040119400417359X,MF519
7538,20009524,451226198508127316,MF519
4609,20009524,370301198103052966,MF519
8719,20009524,542122193304091525,MF519
9372,20009332,371325193908174636,3U208
1510,20009332,230502197206030470,3U208
5489,20009332,460202194004131591,3U208
1174,20009332,232723197410184375,3U208
5205,20009332,610582194411031789,3U208
8284,20009332,150203196503078652,3U208
5671,20009332,210702196902266113,3U208
9435,20009332,522727194212260198,3U208
2067,20009332,411200198512072636,3U208
8945,20009332,220281197701273338,3U208
3610,20009332,610528193705226896,3U208
1471,20009332,411104199510318772,3U208
7077,20009332,610423198811068639,3U208
7364,20009332,210500193507300695,3U208
7303,20009332,360104193901247569,3U208
9372,20001424,371325193908174636,MU320
761,20001424,370801198104210345,MU320
7900,20001424,211005195002076880,MU320
2334,20001424,512002194504136028,MU320
1096,20001424,653129194512227111,MU320
9372,20002656,371325193908174636,CA677
9699,20002656,65292819521208456X,CA677
8962,20002656,371721196410153459,CA677
8226,20002656,654324195901218360,CA677
184,20002656,131125196203218510,CA677
2346,20007668,360982197111037226,MF214
8742,20007668,320583194606286842,MF214
6831,20007668,130826194812173877,MF214
2694,20007668,320803195912160702,MF214
6281,20007668,210904196310123956,MF214
2346,20001902,360982197111037226,CZ344
2437,20001902,140222195707109222,CZ344
7649,20001902,231226198006270074,CZ344
5304,20001902,22040319380926842X,CZ344
145,20001902,632300199008044574,CZ344
2346,20001989,360982197111037226,CJ926
2835,20001989,15050119410829750X,CJ926
7445,20001989,420525199312280560,CJ926
8948,20001989,623026197303065076,CJ926
7697,20001989,150200197701277949,CJ926
8681,20001989,33078319660702271X,CJ926
2608,20001989,460107199008306730,CJ926
5346,20001989,220621198008199109,CJ926
6632,20001989,500235194807114752,CJ926
2498,20001989,131002197312040082,CJ926
2346,20000846,360982197111037226,MU473
669,20000846,340221199701182452,MU473
5910,20000846,450329197911282622,MU473
