start_jid,end_jid,sfzh,hcbc
1850,140000901,360423197208025160,A677
91455,140000901,230710193810134076,A677
43331,140000901,210902197108132236,A677
21778,140000901,632701196601014645,A677
45732,140000901,630102194508230223,A677
1850,640003367,360423197208025160,T901
91410,640003367,35092119860414250X,T901
96219,640003367,33050219531028650X,T901
79936,640003367,44510119540128179X,T901
93902,640003367,610625199704131709,T901
1850,540007431,360423197208025160,L949
67029,540007431,620522198609246981,L949
65411,540007431,520329193609255447,L949
57595,540007431,130131195112300852,L949
33827,540007431,500100195203015234,L949
1850,140008920,360423197208025160,C140
95044,140008920,130581194602107925,C140
69974,140008920,420527198104065282,C140
55769,140008920,640522197809013364,C140
23945,140008920,421000193504118946,C140
93730,940006663,370785199101162567,H974
29198,940006663,150222194206029061,H974
92772,940006663,150428195111020244,H974
72049,940006663,340621199109177242,H974
35138,940006663,530801195810154383,H974
93730,140005874,370785199101162567,H366
57123,140005874,440500195012252355,H366
85291,140005874,420116198108211784,H366
96977,140005874,350581196012266248,H366
61170,140005874,350201195110019846,H366
93730,440008035,370785199101162567,E896
91455,440008035,230710193810134076,E896
41017,440008035,141022196612062665,E896
61024,440008035,110115194812223060,E896
53962,440008035,43011219910710673X,E896
68978,940003490,141123199905227078,G616
29109,940003490,500229194512023629,G616
77,940003490,530425194209170600,G616
8283,940003490,130321195408284407,G616
9540,940003490,130501199402064634,G616
68978,740001605,141123199905227078,L643
67137,740001605,220524193805131626,L643
86398,740001605,350122194609190361,L643
4607,740001605,540229193605145601,L643
67339,740001605,530702193909013187,L643
68978,540003788,141123199905227078,S169
59550,540003788,140822199502239147,S169
38389,540003788,230501196604109669,S169
65161,540003788,340711198307146306,S169
59735,540003788,210903193906171764,S169
68978,740005325,141123199905227078,N467
15481,740005325,340523197011244898,N467
3429,740005325,411302195607279933,N467
19795,740005325,511381197311023937,N467
85585,740005325,220282197810299920,N467
68978,440008983,141123199905227078,A257
31460,440008983,511112199304149705,A257
51857,440008983,450481198510265472,A257
6350,440008983,510122195509210286,A257
33937,440008983,431201198407100527,A257
92369,140000961,341000193302225671,T853
57099,140000961,522727197411028125,T853
95895,140000961,130984198603099081,T853
49336,140000961,361001198806118282,T853
46715,140000961,150524195712232904,T853
92369,440003148,341000193302225671,Z307
96584,440003148,371603196511011742,Z307
98494,440003148,411103196905301318,Z307
85238,440003148,411100195205041275,Z307
93004,440003148,532622197402102690,Z307
92369,140005451,341000193302225671,Y225
58233,140005451,420505193903242256,Y225
18152,140005451,411201197003033948,Y225
4607,140005451,540229193605145601,Y225
43799,140005451,46010619730911418X,Y225
74959,740000478,152523194511279539,R246
38543,740000478,350626194302011878,R246
26756,740000478,533421193611278161,R246
38674,740000478,370403197102122073,R246
32138,740000478,150000196708168395,R246
74959,440005796,152523194511279539,G652
63445,440005796,513326198601050484,G652
41500,440005796,421000196701208389,G652
21918,440005796,620400198409149067,G652
27436,440005796,650204195707312586,G652
74959,540004629,152523194511279539,Z834
5133,540004629,460108194904215099,Z834
34273,540004629,350681193302128494,Z834
58903,540004629,411103194811302388,Z834
62818,540004629,440113196709204075,Z834
74959,740000026,152523194511279539,D863
79116,740000026,532627195401078329,D863
54673,740000026,410922193506240755,D863
82375,740000026,530300193908137546,D863
54185,740000026,220103195804293741,D863
15202,240004087,410402199206218980,T542
26008,240004087,150222193706281090,T542
99180,240004087,120105194301311316,T542
945,240004087,140223194901098282,T542
43584,240004087,310115196311090913,T542
15202,740006474,410402199206218980,K825
33600,740006474,510525198108164164,K825
99161,740006474,533421194405066218,K825
8663,740006474,511503194708097297,K825
49075,740006474,230281196410255209,K825
15202,640004918,410402199206218980,L600
37097,640004918,210304197604195586,L600
69964,640004918,441300199902157956,L600
58755,640004918,37162519810327740X,L600
8258,640004918,230826195210143847,L600
15202,140000060,410402199206218980,K576
3915,140000060,513300198509171829,K576
67409,140000060,34080019801111474X,K576
4478,140000060,130984194303285124,K576
58292,140000060,361029197808045672,K576
55003,540001672,140624196806254854,Z046
81267,540001672,451028196801029486,Z046
87627,540001672,430407199106177216,Z046
27226,540001672,533102197006262500,Z046
93163,540001672,530428195308024565,Z046
55003,940002335,140624196806254854,Z299
17586,940002335,445322193207033331,Z299
12517,940002335,610802199307258876,Z299
36588,940002335,530630197904304901,Z299
27226,940002335,533102197006262500,Z299
55003,740008485,140624196806254854,G531
79839,740008485,230203194401081464,G531
68012,740008485,361024198911017752,G531
27601,740008485,430301196902067328,G531
64945,740008485,37172819620102708X,G531
55003,840005514,140624196806254854,Y384
62319,840005514,141122197306067476,Y384
68059,840005514,371103195905273006,Y384
89259,840005514,340703193802041728,Y384
32359,840005514,330903193406089438,Y384
55003,140008901,140624196806254854,E142
17618,140008901,430406196512173544,E142
42706,140008901,330201197509017733,E142
38368,140008901,522634195903231321,E142
72615,140008901,621200194611075833,E142
38647,240003829,220281196501065804,T815
41473,240003829,430201196205045689,T815
55823,240003829,500109195106261035,T815
47503,240003829,451202193002136772,T815
55271,240003829,341600195512074746,T815
38647,540000511,220281196501065804,D662
32233,540000511,130900194809289248,D662
26079,540000511,420304197105158931,D662
47809,540000511,370703195411171271,D662
44865,540000511,370829195312205033,D662
38647,640007271,220281196501065804,K691
74531,640007271,230129199002250137,K691
72424,640007271,632322193911088128,K691
81248,640007271,231102196009107031,K691
59246,640007271,460200197104178347,K691
38647,540002205,220281196501065804,G911
79836,540002205,220802194411223184,G911
92645,540002205,13092419891111104X,G911
34766,540002205,340603194101261540,G911
27136,540002205,110114197607316513,G911
99363,240005547,130800195308123070,L786
44366,240005547,622900198405287517,L786
58613,240005547,621228194107072365,L786
56635,240005547,42112319590704862X,L786
64443,240005547,621121197603171980,L786
99363,640005835,130800195308123070,D188
83378,640005835,130304193005152228,D188
31773,640005835,41080119980902198X,D188
11599,640005835,152530196105041966,D188
58995,640005835,340122196701241237,D188
99363,240001625,130800195308123070,Z976
72229,240001625,340881195806156227,Z976
38389,240001625,230501196604109669,Z976
6572,240001625,52263419720604540X,Z976
97668,240001625,150400199109085278,Z976
99363,140002022,130800195308123070,N349
26245,140002022,430721199410205609,N349
14720,140002022,130121195503117622,N349
52336,140002022,513330196010012107,N349
8932,140002022,431302197801288203,N349
97613,540004474,220523196803118679,C817
49537,540004474,520425195604105334,C817
74123,540004474,411601194411155854,C817
86001,540004474,370684196911084614,C817
68261,540004474,340223198804072107,C817
97613,440003485,220523196803118679,S213
44577,440003485,341623194410091510,S213
14006,440003485,610522196210241037,S213
58997,440003485,65302319740526331X,S213
31670,440003485,210682197801162711,S213
97613,540002957,220523196803118679,S473
21163,540002957,420202199905205709,S473
79980,540002957,510300196401106679,S473
55083,540002957,450327197406078062,S473
13511,540002957,510683198604223441,S473
93634,440001146,621223193803030840,L914
84316,440001146,653001195705128665,L914
31985,440001146,330283200009260023,L914
95406,440001146,340711198308125013,L914
9141,440001146,610422198104139745,L914
93634,140009471,621223193803030840,S521
6846,140009471,36070119380413657X,S521
23895,140009471,210501198110266555,S521
58420,140009471,140929197608196596,S521
9950,140009471,141124194107267909,S521
93634,340001217,621223193803030840,Y883
51368,340001217,540226196102096160,Y883
7868,340001217,621225195909050841,Y883
53223,340001217,429004199311171230,Y883
39535,340001217,410926196601295083,Y883
93634,740008455,621223193803030840,S122
69068,740008455,431101194404127827,S122
57144,740008455,450305199109120851,S122
