start_jid,end_jid,sfzh1,sfzh2,num
4,406,511623196307302691,542100196810081296,1
4,2072,511623196307302691,640502197205177813,1
4,4070,511623196307302691,652700193512064302,1
4,7296,511623196307302691,540122196507052931,1
4,7887,511623196307302691,621228195405148676,1
4,8226,511623196307302691,654324195901218360,1
4,8566,511623196307302691,532625193002169248,1
9,1079,530500197702247861,540102197207095920,1
9,1811,530500197702247861,542623197608024526,1
9,4362,530500197702247861,610723193301169943,1
9,9547,530500197702247861,610802196504291356,1
9,9887,530500197702247861,654000198307182963,1
14,470,370101196701223104,410000195110158589,1
14,549,370101196701223104,431121196103012297,1
14,1092,370101196701223104,652223195512060033,1
14,2086,370101196701223104,450921197611149485,1
14,2253,370101196701223104,520203196705121937,1
14,2334,370101196701223104,512002194504136028,1
14,3358,370101196701223104,610631199807240593,1
14,3600,370101196701223104,520100198107247833,1
14,3630,370101196701223104,45060120010513518X,1
14,3682,370101196701223104,513422195109071706,1
14,4262,370101196701223104,621201196002204412,1
14,5044,370101196701223104,520423195612076243,1
14,5660,370101196701223104,451226200002189050,1
14,5799,370101196701223104,530522193202020978,1
14,6180,370101196701223104,430426197710280746,1
14,7138,370101196701223104,450900193307307100,1
14,8357,370101196701223104,450703197104183351,1
14,8486,370101196701223104,513321193708186977,1
26,513,411001194411038946,520122196206126972,1
26,699,411001194411038946,53012719570906010X,1
26,1043,411001194411038946,632623193809277013,1
26,2320,411001194411038946,532530198204276883,1
26,3062,411001194411038946,451301193905158058,1
26,3863,411001194411038946,421001195407265755,1
26,4152,411001194411038946,622926195912283801,1
26,4760,411001194411038946,520421195105302848,1
26,6393,411001194411038946,511922195706307989,1
26,6556,411001194411038946,533123196402023365,1
26,6967,411001194411038946,46902919420819257X,1
26,7255,411001194411038946,421124193303230495,1
26,7430,411001194411038946,610202196806216084,1
26,7701,411001194411038946,630221197605040489,1
26,8292,411001194411038946,450101200106035853,1
38,43,130105197010259357,350401197803015506,1
38,454,130105197010259357,411104194505060049,1
38,759,130105197010259357,152528198010085816,1
38,800,130105197010259357,220302199212290363,1
38,1253,130105197010259357,210213193206307557,1
38,1365,130105197010259357,411727194107300059,1
38,1718,130105197010259357,340403199709071165,1
38,2179,130105197010259357,511822197904300490,1
38,2606,130105197010259357,331126195709288793,1
38,2703,130105197010259357,620111194602128203,1
38,3518,130105197010259357,370684198401010489,1
38,3804,130105197010259357,653024198904174689,1
38,3924,130105197010259357,210804198512132491,1
38,3932,130105197010259357,330110195501094525,1
38,4051,130105197010259357,441825199610310546,1
38,4272,130105197010259357,410823193607206354,1
38,5002,130105197010259357,320381194804236615,1
38,5268,130105197010259357,510623194602053616,1
38,5964,130105197010259357,44532219460506367X,1
38,6125,130105197010259357,410811197310138832,1
38,6313,130105197010259357,522701193312118772,1
38,7187,130105197010259357,520324197903132700,1
38,7194,130105197010259357,140621197103204901,1
38,7244,130105197010259357,210201196105277545,1
38,7497,130105197010259357,220623196011212611,1
38,8318,130105197010259357,350924196502186843,1
38,8760,130105197010259357,340603195006042803,1
38,8820,130105197010259357,632701197110048239,1
38,9181,130105197010259357,441202200108276571,1
38,9543,130105197010259357,511600199203294649,1
39,77,150121193905133320,371702194406108403,1
39,298,150121193905133320,220721195310252275,1
39,758,150121193905133320,532531194011089887,1
39,955,150121193905133320,340400195704084664,1
39,973,150121193905133320,522327195708149066,1
39,1254,150121193905133320,610526197912070391,1
39,1359,150121193905133320,511827198005117154,1
39,1450,150121193905133320,410108197503180328,1
39,2043,150121193905133320,150303199006083492,1
39,2230,150121193905133320,52020119411212222X,1
39,2310,150121193905133320,150726194410201466,1
39,2460,150121193905133320,371701196708191591,1
39,2467,150121193905133320,510131193311148285,1
39,2590,150121193905133320,341202199305226531,1
39,2661,150121193905133320,500114199802176255,1
39,2804,150121193905133320,460101199601049327,1
39,3282,150121193905133320,520112193103170966,1
