jid,sfzh,xm,gj,address
20,420981197607195981,郭丹丹,汤加,江西省旭县吉区罗路x座
81,360203193709303515,陈超,希腊,西藏自治区淑英市城北张路j座
62,320801199703101795,徐秀珍,苏里南,云南省南宁县沈北新辽阳街i座
33,140123198205182459,白秀荣,索马里,陕西省兰州市浔阳沈街h座
54,440117196007039293,陈辉,乌干达,澳门特别行政区宁县华龙深圳路C座
25,330900198009192961,胡宁,圣赫勒拿,湖北省郑州市南长嘉禾路w座
66,532930194109254735,李霞,加拿大,贵州省西宁市沈北新翁街o座
77,530425194209170600,赵小红,格陵兰岛,新疆维吾尔自治区雪县涪城方路n座
68,440601196610068634,唐莉,加那利群岛,陕西省巢湖市南长上海路C座
19,500116193103197298,徐峰,希腊,贵州省建平县静安滕路a座
410,321102199701300300,何英,俄罗斯,宁夏回族自治区贵阳市高港钟路C座
411,140212199810178221,李丽,希腊,香港特别行政区哈尔滨市大东郭路n座
712,632622195412131916,朱文,索马里,西藏自治区贵阳市大东杨路B座
713,511325199406188396,廖成,尼加拉瓜,新疆维吾尔自治区宁德县长寿裴路s座
114,361102195111149566,王雷,安道尔,浙江省六盘水县清城杨街J座
615,53090119470223642X,胡明,马绍尔群岛,甘肃省玉兰市崇文张家港路K座
616,542224195312143142,江秀云,不丹,广西壮族自治区颖县魏都李街P座
717,640423193410145106,古辉,维尔京群岛,湖南省涛市南溪潜江街P座
518,31010019400531417X,贺建华,哥斯达黎加,江西省太原县房山昆明路M座
419,152501198005294357,彭俊,乌拉圭,天津市慧县怀柔赵街a座
420,511112198201082283,张秀芳,牙买加,天津市小红市双滦罗路R座
921,210224196212180495,徐东,格陵兰岛,浙江省广州市闵行马鞍山街v座
322,371600198402239596,梁慧,南斯拉夫,福建省秀荣市西峰孙街j座
723,621125199308078964,杨红霞,安圭拉岛英,陕西省丽华市房山六盘水路F座
624,34050119950329696X,黄莉,赤道几内亚,青海省成县沈河王街H座
225,440114196501181990,和飞,圣诞岛,重庆市建军县高港惠州路R座
326,440785194702079852,田晶,哥斯达黎加,重庆市西宁市门头沟海门路y座
827,650100198409095686,罗燕,玻利维亚,云南省佛山市徐汇苑街q座
628,371701193003212256,吴婷,波多黎各,新疆维吾尔自治区太原市静安张街r座
829,532623197111169867,周颖,亚美尼亚,宁夏回族自治区广州县璧山龚街c座
730,421024195006114774,王阳,乌拉圭,辽宁省勇市房山齐齐哈尔街t座
531,510182198501070506,黄雪,开曼群岛,内蒙古自治区建平市沈河嘉禾路I座
532,410523197703190147,宋丹,挪威,台湾省鑫市双滦香港路g座
133,350206197411042813,杨桂芳,圣赫勒拿,山西省武汉县沙市南宁街P座
134,110108196307169871,杨秀荣,阿鲁巴岛,浙江省建国县东丽济南路w座
835,450502199507262435,李军,苏里南,吉林省惠州市孝南李路a座
536,654221198504299952,潘玲,阿富汗,重庆市浩市牧野陈街F座
137,469030194003212165,胡欣,科特迪瓦,上海市英县平山顾路B座
938,530927198706136567,黄秀兰,圣赫勒拿,浙江省柳县平山齐齐哈尔街I座
139,371500195809209760,潘红梅,塞内加尔,福建省琴市吉区关岭街y座
640,640221197301245137,穆敏,加那利群岛,重庆市潮州县山亭党街O座
241,320114196911136079,徐杰,蒙特塞拉特岛,新疆维吾尔自治区西安市浔阳赵街l座
442,360923196801061229,邱勇,桑给巴尔,吉林省杭州县沙湾曹街X座
143,610222199909079501,胡玉华,立陶宛,陕西省银川市永川呼和浩特路L座
544,431227198707185837,王玉,斯威士兰,江西省秀珍县浔阳阳路U座
945,140223194901098282,张丽娟,哥斯达黎加,江苏省阳县大兴张路I座
646,421125195701131965,邱凤英,圣赫勒拿,天津市北京市六枝特海门街M座
447,120200196810172927,张颖,保加利亚,内蒙古自治区宜都县大兴刘街h座
948,421222194109293246,李琳,格陵兰岛,澳门特别行政区兴安盟市清城合肥路n座
149,440881199902138135,刘彬,几内亚,山东省建军市沙市惠州路g座
150,370681195909284568,何丽华,桑给巴尔,内蒙古自治区郑州县朝阳拉萨路i座
851,410381194307142257,裴金凤,卡塔尔,广西壮族自治区合山市门头沟兴安盟街a座
