jid,phone,province,city
10000000,15723016626,宁夏回族自治区,梧州县
10000001,15191175229,陕西省,洁市
10000002,13179306778,安徽省,春梅市
10000003,15980293875,广东省,阜新市
10000004,13303317585,宁夏回族自治区,海燕县
10000005,13230376745,黑龙江省,海燕县
10000006,15392203236,内蒙古自治区,北镇县
10000007,13925776206,河南省,成县
10000008,13048749750,云南省,丽市
10000009,15150782876,上海市,金凤县
10000010,18119051792,吉林省,芳市
10000011,18259117867,香港特别行政区,北镇县
10000012,18870038174,重庆市,玉县
10000013,18210907524,贵州省,海口市
10000014,15783058418,湖南省,涛市
10000015,18510785387,黑龙江省,合肥市
10000016,15821279658,安徽省,上海县
10000017,13249075430,澳门特别行政区,淑英县
10000018,18974123444,山东省,北京市
10000019,13162792912,安徽省,广州县
10000020,13042741252,江苏省,琴市
10000021,18808327480,广西壮族自治区,潮州县
10000022,18205840562,湖南省,飞县
10000023,15877064992,上海市,银川县
10000024,15363778107,香港特别行政区,慧县
10000025,15309220775,浙江省,柳县
10000026,15899894853,江西省,西宁县
10000027,13426719762,陕西省,洁市
10000028,13515218557,内蒙古自治区,婷婷县
10000029,18228209625,福建省,红梅市
10000030,18568868104,台湾省,永安市
10000031,18828555812,山西省,阳县
10000032,13188011072,贵州省,长春县
10000033,15670915495,澳门特别行政区,瑞市
10000034,15353484197,湖北省,洋市
10000035,15299669959,上海市,拉萨县
10000036,15071783382,北京市,佛山市
10000037,13357061273,安徽省,洁县
10000038,13147067216,安徽省,宁市
10000039,14731975390,福建省,福州市
10000040,13696860952,香港特别行政区,兰英市
10000041,18799560825,湖北省,勇市
10000042,13191054836,甘肃省,南昌市
10000043,15603692886,辽宁省,凤英市
10000044,13375235228,澳门特别行政区,太原县
10000045,18601439031,西藏自治区,六安市
10000046,13055736432,广西壮族自治区,超县
10000047,18785127612,山东省,红霞市
10000048,14522892251,辽宁省,太原市
10000049,15080595424,广西壮族自治区,淮安县
10000050,13352165694,吉林省,贵阳县
10000051,15698213371,辽宁省,莉市
10000052,15809324562,新疆维吾尔自治区,海燕市
10000053,15591799606,湖北省,红市
10000054,15842830396,北京市,天津县
10000055,18679252856,山东省,淮安市
10000056,15585039469,辽宁省,丽县
10000057,18297275555,广西壮族自治区,建平县
10000058,13837716419,黑龙江省,永安县
10000059,13129668293,湖北省,南京县
10000060,15243727171,青海省,辽阳市
10000061,13952292632,香港特别行政区,云县
10000062,13035683333,四川省,兴城县
10000063,15058873483,吉林省,玉县
10000064,13512007472,北京市,金凤县
10000065,13661071285,新疆维吾尔自治区,杨县
10000066,18610489467,湖南省,芳县
